	442	438	446	426	434	430
NM_010478_17_-_1	11.604	9.923	10.223	8.209	7.158	6.656
NM_010479_17_-_1	11.173	9.402	9.795	7.696	6.59	6.215
NM_133662_17_+_1	6.926	6.838	7.306	7.49	7.891	8.086
NM_008199_17_-_1	2.676	2.226	2.844	2.059	1.395	1.669
NM_011280_17_+_1	-0.878	1.044	-4.912	4.194	4.808	3.242
NM_019439_17_+_1	4.127	3.791	4.312	4.904	4.798	5.082
NM_008204_17_-_1	8.077	7.936	8.048	9.667	9.378	9.523
NM_011269_17_+_1	-4.912	0.699	-4.912	3.99	5.104	2.997
NM_013737_17_+_1	7.332	7.127	7.292	8.036	8.071	7.955
NM_001304956_17_+_1	4.094	2.947	4.388	-0.768	-0.595	2.602
NM_144857_17_-_1	5.542	5.421	5.917	6.371	6.25	6.18
NM_025433_17_-_1	7.312	7.16	7.157	6.834	6.608	6.506
NM_001146212_17_+_1	5.338	4.94	5.673	3.455	3.773	3.981
NM_008189_17_-_1	2.25	1.091	2.645	-0.58	-4.912	-1.268
NM_001177896_17_-_1	-4.912	-4.111	-4.912	2.65	2.084	2.688
NM_013733_17_+_1	4.437	3.838	4.394	3.808	3.199	3.049
NM_010613_17_-_1	3.989	3.809	4.339	3.29	2.995	3.544
NM_172964_17_-_1	3.904	4.007	3.868	4.813	4.921	5.317
NM_177278_17_+_1	-0.162	0.463	-4.912	4.874	4.773	5.163
NM_207246_17_+_1	5.839	5.727	5.727	6.194	6.576	6.592
NR_003363_17_-_1	3.036	2.813	2.312	-0.835	-0.875	0.478
NM_011163_17_-_1	4.787	4.701	4.437	3.001	3.505	4.193
NM_028611_17_+_1	6.046	6.242	6.109	4.882	5.031	4.65
NM_026514_17_-_1	7.368	7.086	7.21	6.329	6.504	6.322
NM_146083_17_-_1	7.567	7.677	7.787	6.852	7.133	7.101
NM_025325_17_-_1	6.593	6.45	6.655	5.808	5.421	5.878
NM_008532_17_+_1	4.461	4.216	4.761	5.864	5.921	5.976
NM_007883_18_+_1	-4.912	-4.912	-4.912	-1.484	-2.995	-0.559
NM_010415_18_-_1	2.487	1.783	2.227	3.415	3.275	3.838
NM_029357_18_-_1	1.256	0.386	0.089	2.608	2.403	2.072
NM_011937_18_-_1	6.257	6.283	5.814	4.287	3.899	3.842
NM_001025388_18_+_1	2.681	2.737	2.899	8.088	7.567	7.746
NR_040338_18_+_1	-1.346	-4.912	-4.912	1.535	3.581	0.824
NM_134133_18_-_1	6.539	6.396	6.437	5.996	5.778	5.796
NM_026473_18_+_1	5.069	5.124	5.371	4.899	4.451	4.09
NM_008540_18_-_1	6.49	6.351	6.07	5.766	5.693	5.501
NM_145494_18_-_1	6.307	6.17	5.917	6.601	6.779	6.584
NM_025581_18_-_1	-4.862	-4.876	-4.894	3.146	4.001	2.072
NM_177470_18_+_1	5.387	5.466	5.498	6.147	6.324	6.032
NM_178670_18_-_1	3.762	3.861	3.623	2.944	2.995	3.063
NM_173770_18_+_1	-4.912	-4.912	-4.912	1.298	1.854	2.229
NM_027476_19_+_1	1.317	2.486	2.222	3.466	3.07	3.251
NR_015545_19_+_1	2.455	2.276	2.708	-1.264	-4.912	-4.912
NR_027938_19_+_1	0.554	-0.228	1.154	-4.912	-4.912	-3.02
NM_001190436_19_+_1	3.75	3.981	4.237	5.158	5.324	5.223
NM_008577_19_-_1	7.684	7.632	7.823	8.337	8.427	8.281
NM_029499_19_+_1	9.191	9.362	9.11	8.416	8.312	8.571
NM_027209_19_+_1	8.185	8.22	8.082	7.538	7.517	7.577
NM_026835_19_-_1	1.632	2.263	2.651	4.304	4.143	3.922
NM_001025307_19_-_1	0.844	1.426	2.174	-4.912	-4.912	-2.199
NM_152220_19_-_1	2.478	2.231	3.726	3.662	3.796	4.173
NM_026640_19_+_1	6.713	6.829	6.808	5.494	5.381	5.381
NM_134152_19_+_1	6.879	7.042	7.05	6.492	6.502	6.48
NM_181348_19_+_1	0.133	0.887	0.803	-2.144	-4.912	-4.912
NM_145497_19_+_1	4.927	4.435	4.451	3.637	3.369	3.888
NM_013467_19_+_1	-0.731	-4.912	-4.912	2.826	3.674	0.753
NM_025423_19_-_1	5.848	5.893	5.694	6.368	6.51	6.438
NM_145831_19_+_1	-1.346	-2.442	-4.912	0.068	0.396	-0.161
NM_008332_19_+_1	4.802	5.242	4.883	4.137	3.662	3.875
NM_010501_19_+_1	6.329	6.836	6.04	5.153	5.001	5.513
NM_001101605_19_-_1	2.961	3.498	2.679	1.491	1.081	1.932
NM_001005858_19_+_1	4.273	4.18	4.096	1.881	2.618	2.761
NM_008331_19_+_1	5.574	5.464	4.955	3.896	2.867	3.735
NM_198108_19_-_1	-4.912	-4.912	-1.51	2.468	1.382	1.503
NR_045645_19_+_1	2.448	1.881	1.953	3.392	3.958	3.847
NM_172429_19_-_1	6.282	6.21	6.188	5.785	5.95	5.828
NR_028427_19_-_1	4.19	3.942	4.195	1.524	1.314	2.137
NM_026437_19_+_1	4.833	5.045	4.998	5.61	5.416	5.559
NM_018869_19_+_1	1.985	1.459	2.227	1.298	-0.266	-0.039
NR_131956_19_-_1	-0.621	0.441	0.047	-4.912	-4.912	-4.912
NM_001177754_2_-_1	0.998	2.191	-0.697	-3.165	-0.861	-2.305
NM_080854_2_-_1	-4.912	-4.912	-4.912	-0.456	0.084	-0.287
NM_031843_2_-_1	4.142	4.052	4.117	4.92	5.144	4.973
NM_001033293_2_-_1	5.402	5.518	5.446	4.194	4.31	4.169
NM_027085_2_+_1	0.822	0.826	1.652	3.968	4.358	4.883
NM_001290463_2_+_1	-4.912	-4.912	-4.912	-0.28	0.237	-0.251
NM_007760_2_-_1	2.388	2.106	2.065	3.785	3.385	3.297
NM_146119_2_+_1	1.371	2.05	2.194	0.158	-0.266	0.692
NR_027515_2_-_1	2.726	1.626	1.666	-4.912	-0.304	-4.912
NM_028810_2_-_1	7.58	7.322	7.213	8.305	7.993	8.174
NM_001141949_2_-_1	5.635	5.495	5.905	6.039	6.125	6.291
NM_028118_2_-_1	3.566	3.823	2.837	4.362	4.155	4.24
NM_027835_2_-_1	5.562	5.658	5.211	2.448	3.358	4.605
NM_018732_2_-_1	5.572	5.564	5.725	-1.539	0.479	-1.018
NM_001164791_2_+_1	2.414	2.561	2.684	0.664	0.65	0.02
NM_028004_2_-_1	5.047	4.786	4.8	1.399	1.781	2.369
NM_010576_2_+_1	8.009	7.92	7.756	7.375	7.308	7.627
NM_001081349_2_+_1	-4.254	-3.93	-4.775	1.32	2.968	-0.38
NM_008653_2_+_1	-0.284	0.286	-0.805	2.291	2.155	2.377
NR_015464_2_+_1	1.965	0.979	1.922	2.628	2.657	3.405
NM_172668_2_+_1	1.297	-0.118	0.977	-2.986	-1.385	-2.46
NM_178725_2_+_1	-1.646	-2.029	-2.694	-4.912	-4.912	-4.912
NM_001110849_2_-_1	5.749	4.87	5.54	-2.014	-2.277	-0.884
NM_177190_2_-_1	3.256	3.35	3.564	1	1.332	1.503
NM_177652_2_-_1	7.282	7.077	6.76	8.212	8.431	8.684
NM_009773_2_+_1	4.511	4.502	4.289	2.855	2.978	1.303
NM_028054_2_+_1	5.101	4.837	4.98	4.291	4.127	3.69
NM_016907_2_+_1	6.901	6.918	6.566	1.058	1.479	2.198
NM_019769_2_+_1	5.806	5.614	5.594	6.495	6.333	6.38
NM_133838_2_-_1	5.4	5.456	5.434	5.806	5.824	6.099
NM_001024137_2_-_1	-2.065	-4.912	-1.51	5.709	5.702	6.04
NM_001024145_2_-_1	2.967	2.332	2.857	5.91	5.874	6.145
NM_011743_2_-_1	5.995	5.895	5.931	5.421	5.529	5.562
NM_009222_2_+_1	6.362	6.452	6.142	5.666	5.852	5.675
NM_001159646_2_+_1	6.373	6.397	6.343	5.243	5.889	5.213
NM_144818_2_-_1	4.464	4.147	4.203	3.542	3.742	2.823
NM_019789_2_-_1	5.003	5.157	5.284	2.701	2.744	4.103
NM_001291005_2_-_1	4.867	5.014	5.129	3.114	3.191	2.87
NM_027192_2_+_1	1.334	1.335	2.376	3.305	2.89	3.558
NM_001177647_2_+_1	4.909	5.505	5.188	2.182	2.916	1.632
NM_001289749_2_+_1	-4.912	-4.912	-4.912	-1.07	-0.266	-0.287
NM_001081162_2_-_1	-4.912	-4.912	-4.912	0.326	-2.081	0.535
NM_001033298_2_+_1	3.506	3.145	3.471	4.295	4.124	4.375
NM_019632_2_-_1	-4.912	-4.912	-4.912	-0.236	-0.734	-0.444
NM_009976_2_-_1	10.506	10.662	10.831	11.173	11.325	11.5
NM_054068_2_-_1	-2.606	-4.912	-4.912	7.279	7.187	7.259
NM_172117_2_+_1	4.585	4.688	4.553	5.748	5.73	5.597
NM_001291077_2_-_1	-4.912	-4.912	-4.912	-0.062	-0.179	0.332
NM_175093_2_-_1	-4.912	-4.912	-1.097	0.796	-0.144	0.178
NM_007896_2_+_1	8.789	8.728	8.482	9.071	8.942	8.999
NM_016661_2_-_1	4.752	4.492	4.459	0.081	-1.543	-0.498
NR_015528_2_-_1	4.88	4.866	4.941	6.09	5.734	5.992
NM_170590_2_-_1	5.558	5.59	5.28	4.642	4.801	4.38
NM_172674_2_+_1	5.518	5.231	5.186	6.239	5.936	6.24
NM_001139520_2_-_1	8.081	7.908	7.879	8.634	8.622	8.446
NM_133779_2_+_1	5.14	5.181	5.548	6.168	5.997	6.157
NM_011125_2_-_1	6.161	5.622	5.702	7.391	6.988	7.062
NM_001139519_2_-_1	5.537	5.926	5.696	4.644	4.856	5.268
NM_021394_2_-_1	4.338	4.569	4.001	2.596	2.683	2.306
NM_025531_2_-_1	6.94	6.681	6.876	6.298	6.437	6.343
NM_001177480_2_+_1	-0.087	0.596	0.672	-2.233	-1.596	-4.908
NM_001177568_2_+_1	0.605	1.664	1.075	3.154	2.558	3.476
NR_036450_2_+_1	-0.248	-4.912	-4.912	2.867	3.004	3.105
NM_001243903_2_+_1	-1.159	-0.666	-0.282	1.691	2.283	1
NM_001177708_2_+_1	2.854	2.195	1.719	-4.912	-0.349	-4.36
NM_009801_3_+_1	5.761	5.981	6.124	8.848	9.288	6.887
NM_013531_3_-_1	4.69	4.133	3.673	5.272	5.056	5.153
NM_001167883_3_-_1	3.914	3.435	3.821	1.157	1.125	1.646
NM_011990_3_-_1	3.448	3.023	3.542	0.626	-0.882	-0.416
NM_030595_3_-_1	-4.912	-0.009	-4.912	2.915	2.995	3.033
NM_173398_3_-_1	3.832	3.926	4.701	5.072	5.774	5.431
NM_001113238_3_+_1	-4.912	-1.477	-4.912	2.481	1.933	-0.077
NM_001293749_3_+_1	1.441	0.846	0.317	2.496	2.662	2.083
NM_001253738_3_+_1	9.392	9.356	9.101	8.898	8.761	8.947
NM_001271764_3_+_1	7.394	7.074	6.946	6.796	6.522	6.769
NM_009112_3_+_1	6.611	6.859	6.871	7.922	7.834	7.578
NM_001293734_3_+_1	0.133	1.854	-0.521	3.89	2.916	3.731
NR_121656_3_+_1	-4.912	-0.343	-4.912	1.559	2.92	2.178
NM_019414_3_+_1	-4.912	-4.912	-4.912	-2.402	-2.399	-2.749
NM_001163573_3_-_1	1.048	0.926	1.204	-2.772	-4.912	-0.122
NM_144900_3_-_1	5.67	5.794	5.639	6.082	6.429	6.368
NM_177545_3_-_1	-4.912	-4.912	-4.912	1.419	2.272	0.267
NM_001142959_3_+_1	-2.392	-1.167	-4.912	4.556	4.912	4.757
NR_045845_3_+_1	7.073	7.206	7.234	5.783	5.832	6.495
NM_177664_3_-_1	-4.912	-2.442	-4.912	0.683	0.707	-1.577
NM_001005859_3_-_1	7.134	7.256	7.34	6.397	6.446	6.554
NM_011863_3_+_1	3.766	3.872	3.726	5.323	5.026	4.568
NM_001289493_3_+_1	2.981	3.634	3.13	4.74	4.604	4.881
NM_010259_3_+_1	-4.912	-4.912	-4.912	1.674	1.756	1.371
NM_010260_3_+_1	4.599	4.756	4.152	5.913	5.866	5.745
NM_133871_3_-_1	1.53	3.308	1.057	-1.07	-0.144	-1.956
NR_040373_3_-_1	-4.912	-4.912	-2.066	1.146	2.663	0.078
NM_019753_4_+_1	2.977	2.709	2.716	4.832	5.378	5.336
NM_010281_4_+_1	6.071	6.14	6.293	5.148	5.332	5.57
NM_008298_4_+_1	9.329	8.8	9.049	7.815	7.887	7.765
NM_001163401_4_+_1	3.09	1.933	3.166	-0.99	-4.912	-1.704
NM_001099348_dup1_4_-_2	-4.912	-4.912	-4.912	-1.981	-1.531	-0.409
NM_053081_4_-_1	4.065	4.151	3.695	5.339	5.408	5.061
NM_001110322_4_-_1	4.731	5.265	5.505	1.082	0.444	0.715
NM_001110321_4_-_1	5.225	5.674	5.739	-1.412	-0.451	-4.912
NM_001110320_4_-_1	5.524	5.267	5.697	3.868	3.447	4.707
NM_007654_4_-_1	5.801	5.77	5.75	6.732	6.6	6.514
NM_009370_4_+_1	5.374	5.773	5.502	6.115	6.222	6.401
NM_008525_4_-_1	5.625	5.568	5.789	7.693	7.977	6.473
NM_028326_4_+_1	-4.912	-0.556	-4.912	1.737	-0.144	0.692
NM_001113412_4_+_1	0.83	-0.34	0.222	2.839	2.932	3.464
NM_175036_4_+_1	7.352	7.373	7.289	7.81	7.812	7.817
NM_019872_4_-_1	3.595	3.413	3.991	5.026	5.131	4.889
NM_177578_4_+_1	5.572	5.399	5.022	-4.912	-4.912	-4.912
NM_026018_4_+_1	0.207	-4.674	-4.684	3.753	4.972	3.165
NM_026601_4_+_1	-1.137	-1.082	-0.111	4.989	4.618	3.779
NM_019563_4_+_1	2.154	2.05	1.434	4.194	3.978	3.176
NM_001005788_4_-_1	1.297	1.417	2.533	3.933	3.997	3.724
NM_007598_4_-_1	4.789	5.183	3.67	6.597	6.052	6.361
NM_001301067_4_-_1	4.43	3.463	4.724	6.498	6.56	6.328
NR_002445_4_-_1	6.657	6.817	6.815	-4.912	-4.912	-4.912
NM_001030274_4_-_1	5.918	6.054	6.502	1.029	1.255	1.34
NM_010213_4_+_1	1.767	1.135	1.595	4.19	4.131	4.493
NM_027402_4_+_1	2.876	2.911	1.785	4.826	4.141	5.202
NM_008228_4_-_1	7.441	7.509	7.276	6.702	6.579	6.356
NM_029748_4_+_1	6.443	6.475	6.766	7.207	7.175	7.219
NM_008974_4_+_1	8.27	8.046	7.728	6.988	6.953	6.478
NM_011520_4_+_1	4	4.127	4.142	3.731	3.058	3.53
NM_016957_4_-_1	9.807	9.824	9.834	8.613	8.574	8.515
NM_026144_4_-_1	4.641	4.351	4.905	3.912	3.786	3.384
NM_080559_4_-_1	11.097	11.203	11.249	9.807	9.824	9.975
NM_019578_4_-_1	2.515	0.765	1.785	0.421	-3.183	-0.594
NM_019641_4_+_1	9.095	9.163	9.321	7.746	7.552	7.452
NM_172338_4_-_1	2.945	2.414	3.039	3.998	3.978	4.061
NM_001083918_dup1_4_+_1	5.002	4.769	4.782	0.528	1.085	0.701
NR_040355_4_+_1	4.027	2.113	3.414	-2.023	-0.63	-0.222
NM_001177767_4_+_1	-4.912	-4.912	-4.912	-1.192	-1.243	-1.681
NM_001014397_4_+_1	-1.92	-1.67	-0.752	3.263	3.519	3.729
NM_145078_4_-_1	-4.912	-4.912	-4.912	5.347	5.209	5.294
NM_001127188_4_-_1	-2.468	-4.912	-1.857	0.711	0.355	0.295
NM_001025365_4_-_1	5.442	5.318	5.313	4.988	4.808	4.833
NM_001039554_4_-_1	-4.912	-4.912	-0.565	3.741	3.628	3.735
NM_008441_4_-_1	2.768	1.548	1.93	3.73	4.008	4.093
NM_023119_4_+_1	9.136	8.929	8.996	8.655	8.42	8.422
NM_001025388_4_+_1	6.676	6.895	5.617	-4.795	-4.608	-3.983
NM_001112744_4_-_1	-4.912	-4.912	-4.912	0.553	1.001	0.896
NR_045643_4_-_1	-1.646	-4.912	-2.066	0.158	-0.266	0.178
NM_178931_4_-_1	0.929	1.973	2.595	4.137	4.6	3.815
NM_147776_4_-_1	-4.912	-4.912	-2.066	-0.346	-0.734	1.203
NM_024263_4_+_1	-0.284	-0.271	-4.912	1.419	1.584	1.88
NM_009400_4_+_1	6.313	6.184	6.428	7.025	6.951	7.04
NR_030671_4_+_1	4.793	4.677	4.445	3.775	3.929	4.284
NM_001110516_4_-_1	-2.247	-4.912	-4.912	2.809	3.033	2.283
NM_194462_5_+_1	6.466	6.558	6.558	6.914	7.102	7.43
NM_153116_5_-_1	3.3	3.435	3.302	1.836	2.376	2.632
NM_198620_5_-_1	3.015	3.435	3.768	2.094	0.86	0.456
NM_011075_5_+_1	4.077	4.695	4.67	1.188	1.041	0.564
NM_009274_5_-_1	5.772	5.893	5.45	6.104	6.172	6.264
NR_015554_5_-_1	-4.912	-4.912	-4.912	2.41	2.059	2.348
NM_001081441_5_-_1	3.193	3.791	3.373	2.898	2.773	2.594
NM_153526_5_+_1	3.805	3.976	3.897	4.826	4.346	4.25
NM_021304_5_+_1	-4.912	-4.905	-4.664	5.406	5.466	5.74
NR_003522_5_+_1	3.286	3.884	4.147	0.978	0.665	1.24
NM_001040435_5_+_1	5.557	5.537	5.486	5.175	4.844	4.649
NM_010753_5_-_1	4.973	5.094	5.175	5.96	5.825	5.931
NR_131130_5_+_1	-4.912	-4.912	-4.912	-1.2	-0.878	-1.502
NM_144517_5_+_1	2.777	2.896	2.896	3.791	3.742	3.712
NM_029554_5_+_1	1.655	1.044	-0.212	-4.912	-2.535	-4.912
NM_026667_5_+_1	3.414	3.186	2.759	2.125	1.709	2.29
NM_001164806_5_-_1	5.058	5.373	4.764	2.93	3.128	3.347
NM_001081205_5_+_1	2.84	2.309	2.103	0.158	0.86	0.369
NM_001113461_5_-_1	0.94	2.949	3.951	-4.692	-4.266	-3.276
NM_001113460_5_-_1	4.775	4.966	4.094	3.768	3.659	3.073
NM_010612_5_-_1	0.584	0.081	1.057	-0.878	-3.183	-1.577
NM_007832_5_+_1	5.899	5.845	5.289	5.113	5.173	4.768
NM_001009818_5_+_1	5.963	5.745	5.763	5.199	5.038	5.073
NM_013470_5_+_1	7.46	7.001	6.996	6.313	6.517	6.615
NM_001163461_5_+_1	1.269	1.941	0.665	-4.912	-0.458	-4.841
NM_001253917_5_-_1	2.36	1.604	2.095	3.796	4.09	4.668
NM_001285806_5_-_1	6.306	6.414	5.908	4.937	5.105	4.621
NM_177078_5_-_1	7.018	7.029	6.83	7.425	7.422	7.773
NM_007773_5_-_1	-2.065	-2.442	-4.912	1.11	0.084	0.692
NR_027818_5_-_1	3.64	3.617	3.451	5.761	5.763	6.3
NM_011854_5_+_1	5.658	6.016	5.583	4.3	4.607	4.623
NM_001122666_5_-_1	1.602	0.856	2.239	4.554	3.992	3.661
NM_145227_5_-_1	4.976	5.234	4.88	2.291	3.615	3.86
NM_145226_5_-_1	2.346	2.502	1.754	0.421	-0.734	0.535
NR_126529_5_-_1	2.829	2.613	2.47	-4.819	-1.301	-0.243
NM_011852_5_-_1	2.529	2.779	3.9	-3.267	-4.912	-4.9
NM_145211_5_-_1	7.036	7.337	7.223	5.743	5.746	5.841
NM_030259_5_-_1	7.217	7.221	7.42	7.737	8.27	7.994
NM_175432_5_+_1	2.822	2.885	2.778	-0.236	0.86	1.456
NM_001130476_5_+_1	3.796	3.982	3.959	3.222	3.739	3.025
NM_198602_5_-_1	4.702	4.307	4.485	2.564	3.279	2.737
NM_031406_5_-_1	4.219	4.485	4.212	3.975	3.474	3.746
NM_001044703_5_+_1	-1.813	-2.168	0.283	2.513	2.939	1.854
NM_177878_5_+_1	2.535	1.913	3.214	4.016	3.462	3.979
NM_001013773_5_+_1	2.977	3.061	3.404	5.808	5.886	6.079
NM_178702_5_-_1	1.382	0.583	-0.103	1.697	2.574	2.892
NR_040432_5_+_1	3.945	3.666	3.821	0.421	0.86	1.252
NM_019647_5_+_1	9.911	10.16	10.077	8.68	8.828	9.145
NM_028291_5_+_1	5.442	5.323	5.221	5.781	5.921	6.224
NM_029920_5_+_1	0.648	2.937	1.489	-4.912	-1.385	0.456
NM_011908_5_-_1	7.284	7.222	7.159	7.888	7.698	7.762
NR_028061_5_-_1	-2.39	-4.912	-0.271	6.069	5.939	5.908
NM_173006_6_-_1	1.74	1.947	2.671	3.65	3.723	3.891
NM_001164805_6_-_1	-4.912	-4.912	-4.912	-0.037	-0.923	1.203
NM_007563_6_+_1	4.013	4.291	4.81	5.555	5.589	5.234
NM_032540_6_-_1	-0.284	-0.271	-0.565	2.638	4.275	2.551
NM_133764_6_+_1	-4.912	-2.442	-4.912	3.871	3.111	3.217
NM_001079902_6_+_1	-4.604	-4.433	-4.122	0.703	0.518	1.385
NM_174960_6_+_1	0.387	1.459	0.884	4.484	4.155	2.529
NM_001163640_6_+_1	6.885	6.742	6.537	7.411	7.599	7.523
NM_001164361_6_+_1	1.933	1.68	0.803	3.016	2.748	3.015
NM_019455_6_-_1	5.128	5.246	5.229	5.887	6.315	6.196
NM_010121_6_+_1	3.387	3.444	3.813	4.174	4.199	4.71
NM_001035228_6_+_1	5.737	5.548	5.47	4.883	4.89	5.071
NM_026159_6_+_1	2.154	2.392	1.312	3.451	3.095	3.407
NM_009357_6_-_1	5.768	5.724	6.057	5.266	4.617	4.941
NM_001271861_6_+_1	-4.912	-4.912	-0.485	1.673	2.687	-0.468
NM_013471_6_-_1	6.761	6.628	6.411	7.29	7.385	7.329
NM_001170591_6_+_1	4.7	4.582	4.442	0.77	1.766	1.002
NM_011507_6_-_1	5.618	5.329	5.204	3.841	3.842	3.742
NM_145148_6_-_1	2.056	2.643	3.151	0.894	1.28	-0.594
NM_138677_6_+_1	6.268	6.113	5.892	6.79	6.763	6.664
NM_133926_6_-_1	3.566	4.027	4.466	6.045	5.78	5.816
NM_016970_6_-_1	1.334	2.05	-0.565	3.886	4.286	3.69
NM_031159_6_-_1	2.573	1.754	1.72	4.8	4.634	4.77
NM_001190310_6_+_1	4.576	4.346	4.557	5.249	5.462	5.48
NM_020001_6_+_1	5.215	5.287	5.355	6.479	6.625	5.854
NM_001145927_6_+_1	-4.912	-4.912	-4.912	2.211	2.904	3.139
NM_001145926_6_+_1	-4.912	-4.912	-4.912	-0.266	0.493	0.716
NM_008084_6_-_1	9.751	9.585	9.54	8.867	8.613	8.438
NM_146171_6_-_1	4.666	4.464	4.4	3.927	3.822	3.132
NM_009829_6_-_1	6.914	7.133	7.168	6.448	6.476	6.21
NM_020257_6_+_1	5.998	5.891	5.546	4.799	4.781	4.679
NR_015455_6_+_1	4.757	5.077	4.999	7.219	7.186	7.475
NM_177686_6_+_1	5.429	5.73	5.858	4.512	3.997	3.398
NM_033078_6_-_1	4.89	5.195	4.495	6.112	6.547	6.527
NM_001012520_6_-_1	5.695	5.434	5.564	4.555	4.503	4.814
NM_177155_6_-_1	5.403	5.742	5.549	6.715	6.871	7.002
NM_133203_6_-_1	3.617	3.324	4.212	7.845	7.774	7.794
NM_010651_6_-_1	-4.912	-4.912	-1.402	1.71	1.763	1.319
NM_008459_6_-_1	-4.912	-4.912	-4.912	0.022	0.541	-0.074
NM_010648_6_-_1	1.904	1.918	1.681	-4.907	-4.892	-4.88
NM_001163445_6_+_1	5.408	5.549	5.822	4.559	4.603	5.098
NM_013546_6_-_1	0.207	0.386	1.434	7.673	7.609	7.512
NM_028982_6_+_1	5.795	5.877	5.653	6.968	6.781	6.827
NM_175652_6_-_1	1.459	1.417	0.803	3.214	3.328	3.297
NM_177688_6_+_1	6.899	7.077	7.35	8.102	7.991	7.969
NM_001301309_6_-_1	2.072	2.512	2.843	-4.912	-4.912	-0.509
NM_001301308_6_-_1	2.241	2.492	2.951	-4.912	-4.912	-3.724
NM_001164402_6_+_1	5.498	5.747	4.363	6.362	6.432	6.234
NM_001271595_6_-_1	5.211	4.999	5.033	-3.685	-4.506	-1.103
NM_183165_6_+_1	4.299	4.317	4.532	3.369	3.147	3.731
NM_025872_6_+_1	5.042	5.157	5.325	3.241	4.103	4.017
NM_010586_6_-_1	1.633	0.735	2.501	-1.4	-4.912	-4.912
NM_024168_7_+_1	5.764	5.918	6.188	5.591	5.026	5.007
NM_001289428_7_-_1	5.789	5.809	5.602	1.658	2.879	2.126
NM_011089_7_-_1	6.663	6.414	6.261	5.67	5.465	5.638
NM_011087_7_-_1	-3.581	-4.218	-4.59	7.344	7.178	7.177
NM_001166672_7_-_1	6.42	6.11	5.755	-4.912	-1.564	-4.912
NM_011093_7_+_1	2.416	2.314	2.359	-0.52	-0.375	0.474
NM_008848_7_+_1	-4.912	-4.906	-4.898	2.443	2.363	1.578
NM_026146_7_+_1	-0.31	2.698	2.414	-1.876	-3.335	-1.356
NM_001033548_7_-_1	3.193	2.461	3.009	0.614	0.632	0.972
NM_026158_7_-_1	4.219	4.533	4.839	3.28	1.957	0.535
NM_175315_7_-_1	2.603	2.134	2.103	-4.912	-4.912	-4.912
NM_009201_7_+_1	6.414	6.306	6.237	5.582	5.321	4.872
NM_001110009_7_-_1	2.419	2.184	2.837	-2.144	-0.408	-4.912
NM_009696_7_-_1	8.093	7.836	8.046	5.527	6.152	4.225
NM_001305844_7_-_1	5.636	5.976	7.096	4.048	2.985	1.371
NM_020486_7_-_1	0.133	0.826	0.977	-4.912	-4.912	-3.02
NM_177036_7_-_1	0.773	1.881	1.252	-2.986	-3.183	-4.912
NM_001163810_7_-_1	-4.912	-4.912	-4.912	1.605	2.024	2.437
NM_199013_7_-_1	0.207	-2.442	0.884	1.864	2.024	2.407
NM_011113_7_+_1	5.205	5.484	6.004	7.417	7.827	7.61
NM_023133_7_+_1	10.896	11.126	11.173	10.373	10.322	10.582
NM_010261_7_-_1	7.319	7.416	7.496	7.975	7.869	7.956
NM_001039186_7_-_1	3.887	1.896	2.805	-0.963	0.896	0.409
NM_001039185_7_-_1	3.187	2.9	3.337	-0.312	0.751	0.316
NM_001039187_7_-_1	1.607	1.828	1.361	0.102	-3.784	-4.557
NM_001113368_7_-_1	-4.912	-4.912	-1.249	1.717	1.552	0.921
NM_025504_7_+_1	4.616	4.406	4.486	2.447	2.448	3.127
NM_010950_7_+_1	-1.646	-0.936	-1.097	-4.912	-4.912	-4.912
NM_198425_7_+_1	1.908	2.023	2.065	3.699	3.978	3.968
NM_001081115_7_-_1	1.53	0.826	0.977	3.983	3.058	3.242
NM_027999_7_-_1	5.503	5.592	5.401	5.126	5.148	4.822
NM_001083903_7_+_1	1.235	1.118	2.028	-0.738	-2.535	-1.198
NM_025390_7_-_1	5.484	5.286	5.454	4.073	4.254	4.418
NM_001205070_7_+_1	1.061	2.615	1.531	3.161	4.228	2.943
NM_001205072_7_+_1	2.983	2.337	4.398	-1.152	-4.912	-4.907
NM_001205071_7_+_1	4.306	4.631	4.497	5.691	5.407	4.864
NM_023649_7_-_1	-4.912	-0.4	-4.912	2.481	2.544	2.804
NM_001160345_7_-_1	0.113	2.097	1.785	5.767	5.862	5.973
NM_023908_7_-_1	1.733	2.106	0.275	2.744	3.247	3.33
NM_001113527_7_+_1	2.456	3.529	3.046	5.799	6.41	5.018
NM_011870_7_-_1	7.279	7.583	7.508	7.86	7.996	8.143
NM_031375_7_+_1	4.724	4.32	4.901	5.618	5.374	5.127
NM_026812_7_+_1	2.25	0.286	2.453	5.736	5.546	6.016
NM_172904_7_-_1	0.308	0.699	0.717	-4.912	-4.912	-4.912
NM_010176_7_-_1	1.197	0.887	-0.212	2.915	2.995	2.613
NM_199035_7_+_1	5.774	5.598	5.642	4.417	4.223	4.555
NM_001012434_7_+_1	2.112	-1.555	2.36	-3.687	-3.459	-2.686
NM_011035_7_+_1	7.006	6.938	6.677	8.053	7.907	8.113
NM_178764_7_+_1	4.256	4.626	4.866	5.072	5.354	5.365
NM_001291358_7_+_1	2.827	2.419	0.406	-0.66	-4.907	-4.889
NM_016956_7_-_1	5.874	7.521	6.905	10.258	10.998	9.837
